playername,patch,CurrentSkill,PC1,PC2,PC3,PC4
Bdd,15.04,51.84793826727315,5.189290954033515,-6.330418634658798,-1.1366876446415068,3.139539816191384
ShowMaker,16.04,51.707061317560814,3.2590840818122184,-0.7234365532858412,-0.5697873648541556,-1.4929115963031698
Zeka,15.24,51.390766940297596,1.485737024070674,-0.0437232249150952,1.0452767801993064,0.5207041614620321
Zeka,16.01,51.3312531747785,2.1981718015626,1.538672371192841,-1.8246124332301603,-0.2782418908773713
FATE,14.16,51.13008982965198,2.42861189186171,-1.6811280656811898,2.0812918562353877,-1.4983872810367889
Bdd,15.08,51.0389223142189,2.2281145737875283,-0.7329195589362488,-1.611839209319798,3.2173776765287605
ShowMaker,16.01,50.928164312834355,0.8755226744104904,0.5208524077448864,2.36856685219985,-0.8261002421919293
Scout,15.18,50.67868751949545,2.9606161100131803,-1.85220219375393,-0.4829066280359607,0.7582498163116254
ShowMaker,15.23,50.64189246251922,0.2240903822872575,0.1726319644010333,2.1391668304788607,2.1838948227734507
Quad,15.05,50.5990280848789,1.0329977801136745,0.5543590043898374,-0.45418985624433,2.812874836506923
