playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Sponge,DRX,jng,15.09,15,9,10,0,jng,-0.11496770411934422,-2.3736117803185564,-1.7751788241207704,0.10559278910407127,-0.8549683371840607,-0.29830519188053123,0.2561080154532492,0.5916174923855867,0.8005469604147961,0.9245764319859301,-0.2820574692130907,0.3504535227652716,0.9443444141241795,-0.030495329628263634,-0.1027130234455965,0.19599648653290583,0.23041466209290556,-0.2420916672050223,-0.07056028302971144,0.41710878516669675,-0.03304210096000331,-0.11769464934726578,0.030777357737971037
Canyon,Gen.G,jng,15.11,15,11,5,0,jng,-0.7124596664794863,0.6699006211071583,0.44144352940263537,1.693385147291971,-1.266978796137048,-0.4745171978978819,-0.8875413431054467,1.417834655517784,2.180625457454241,0.3730282084735142,-0.3510632219797145,-0.48130365318883106,-0.33352381779493306,-0.35608302912340667,-0.3165323226258454,-0.507746068145625,-0.4058816431545873,-0.18289464138674122,0.4796885702585473,-0.16812872998500938,-0.23757089507605608,0.07826522025527025,0.12563975637950667
Cuzz,KT Rolster,jng,15.11,15,11,10,0,jng,2.3857470474504723,0.515880462442886,0.7332509864267025,0.3220533700328594,-0.6562321979396958,-1.3932746940531022,0.05980889658553949,-0.2797536170638834,-0.6127680906792194,-0.9090181301793658,0.057191550446834674,0.5577205139304343,-0.22135057390280208,1.0805686602616134,-0.23266402418221732,-0.5882060164751557,0.04684049710858934,0.12579799243147047,0.10038973816311933,0.28294009702085476,0.15051009712291655,0.014662745553408744,-0.11598207473511142
GIDEON,Nongshim RedForce,jng,15.11,15,11,3,0,jng,-3.7183496313366833,-4.953034432715094,-1.035479342794387,0.0042597451163500335,-0.519884574890848,-0.4614758395784543,1.7913367863476937,0.05689324288569747,-0.11280891824520789,-0.5332004178370325,-2.092440005793153,1.5897152254573332,-0.4531080213848601,-0.2248477754327406,-1.9022713466840735,-0.27444442802124985,-0.5943238317208202,-0.30248417962532886,0.01818500500684095,-0.6920355215315183,0.3980709895168522,0.03920521096463581,0.15055597141732074
Lucid,Dplus Kia,jng,15.11,15,11,3,0,jng,-3.347370412203156,0.6532192278069687,-1.6490727714768412,0.7738231132368689,1.8090802270305637,-1.7417147273087397,0.5574097484219178,2.4443420387820964,-0.4544484572485748,1.4226007388177047,0.012636149918219694,1.7631051478573385,0.12976858939494978,0.7583177915376811,0.15279660524141023,-0.9938989802947733,-0.539946106530543,0.6529961074104143,-0.5032412613046079,0.04507232402606348,0.566225973277711,0.32004061904376974,-0.09349355636096826
Oner,T1,jng,15.11,15,11,7,0,jng,4.120958636732813,-0.47646886553766865,0.4159607021667935,2.5126210369710433,0.7245224250841316,0.744677760351319,-0.674153016894768,0.4806320909556688,-1.1392830186897307,0.07250780663538448,-0.24871375526213704,-0.08542877215133604,-0.20879198971077487,0.1927676289376996,-0.2366933107453741,0.17474804793543564,1.6166773921047208,0.09841421319244398,-0.18434790231931944,-0.22006094794771747,-0.03207088385253607,-0.05548047796181255,-0.22620052102980276
Peanut,Hanwha Life Esports,jng,15.11,15,11,8,0,jng,-0.8328591563147439,-1.9849060090150914,0.341180343902554,0.5371280703849406,0.7059166730705443,-1.312773922483078,1.4893732644809272,1.1083443286467631,0.37785983354852615,0.4711089342597493,0.05332545533612375,0.10499136362214613,-0.24111243748822783,-0.39966008614551474,-0.3536767568104761,-0.041944286041991095,-0.23446391932572702,-0.097682616046568,0.04318563629148385,0.3403622454597799,-0.19148179287184547,0.18080563920738396,-0.04314024513305464
Canyon,Gen.G,jng,15.14,15,14,9,0,jng,2.529046677975849,0.12655511551567708,2.1981855457892228,0.7108335485172884,0.06817587001617798,0.3822643308154658,-1.20957508339046,1.6147297405705188,-1.1242330312794733,0.6126762407132404,-0.7863127488121001,0.7589955545221672,0.1516319905563617,1.017692350981326,-0.2794977013225973,0.2716797806093738,0.0492435076071933,0.04097321234764986,-0.14904280546713533,0.19446032022832932,-0.25338773743269594,-0.03388802529987878,-0.0754040797510095
Croco,HANJIN BRION,jng,15.14,15,14,10,0,jng,2.7016579232222657,-1.6455222079358864,-0.25687901797894275,1.2698242128150588,0.24157065381624782,-1.0093493712483086,-0.8271295260406536,-1.7634049693900897,-0.9344824615859104,-0.019716447370914828,0.2668712929987531,-0.039724277911149866,-0.32571789892194053,0.7417779634086615,0.032807784310549426,-0.16496723460071053,-0.0641703526281444,-0.022443378659084943,-0.09926654546542187,0.30126735948974587,-0.3633227610137914,0.22381388226907561,-0.18323365809206443
Cuzz,KT Rolster,jng,15.14,15,14,8,0,jng,0.013104744229477217,-1.2946750200357773,-2.05166842436144,1.2323425769607903,0.6700361372624438,-1.6041218130235484,0.23086200384986302,0.5107700903261192,-0.24077342708223287,-1.2675324231137253,-0.13653126673445223,-0.40062626340298013,-0.006386925704116029,0.14580599596022,0.10468412329065674,-0.27080345785305143,0.4557287008784615,-0.14456605584913929,-0.2810043383582637,0.32738764477636784,0.08503559582530806,-0.0025275098641760287,-0.08286465613005485
