pca_group,feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
jng,firstbloodvictim,-0.0039600745896122,-0.01732203724651677,-0.22552277586868444,-0.03007657916703526,-0.37765496260957115,0.005295138515422682,-0.3803724637581008,-0.29827327168798246,0.43086216976944475,0.5861080823560736,-0.046577898714789734,-0.11706800678885794,0.07693101490430282,-0.048855280624847425,0.11070230295141549,0.0024183824978904755,-0.007361935798593323,-0.01600303703780104,0.020672613408676523,0.024353723081940885,0.0655820597256491,0.018729969994838537,-0.005451785481237859
mid,golddiffat15,0.30611386037436056,0.009800828190977157,-0.17316407158670818,0.17972176376348603,-0.24207803556512872,0.05954288832880987,0.05457264925158587,-0.11144860476089792,0.14931734702667246,0.047378839498281464,-0.08724397718336278,-0.0682538749316733,-0.17239668342469022,-0.185668531305938,-0.17002706647278384,0.469319459232615,-0.47636582181378934,0.13035167295518246,-0.41186827934024733,-0.011700913229038587,0.029175077587649676,-0.04051605270555212,0.003384775738727414
mid,xpdiffat15,0.26294875521173355,0.001688743662737224,-0.21996596453423203,0.07191986030144173,-0.3556664309758826,0.2879737554097131,-0.001939414079824307,-0.21154783553066966,0.04386022583883401,-0.02551069798192534,-0.040684749992490936,-0.04555304140023679,0.09989206603842564,0.03478490333161602,-0.17512315509650533,-0.2564185235276458,0.5252963777468966,-0.2686724057459864,-0.31974458664772804,-0.17499931280265052,-0.16578104744135358,-0.010892121553780805,-0.02485014258412683
mid,csdiffat15,0.27625156368792786,-0.010407053751132276,-0.20812908393605187,0.03338755179391179,-0.2880772827988178,0.2692189675333949,0.09638056700645996,-0.3126822955323156,0.10025149615746888,-0.08423561075047221,-0.013712901210375574,0.1342961584624261,0.07363786587109114,-0.03340656519810709,0.10860243979046301,-0.04983022844333536,-0.13066585466444544,0.11274124782688981,0.6813746649034024,0.25164030741638976,0.03615194890854827,0.03750736857140381,0.01843205802793999
mid,kills,0.2577452824349426,0.1380018695272282,-0.0423167267155373,0.23074254903126035,0.2574674005611633,-0.22885583434799556,-0.012842431526069191,0.12040482114526466,0.15982236558172397,0.21877834895852127,-0.14772170768597126,0.22513451858512445,-0.18953292330755608,-0.45013851543537403,-0.18195185507859502,-0.3290677001591206,0.019490595071834056,0.08135976710456343,0.16730904975410965,-0.1672683838433199,-0.27160573670290633,-0.24319871636714352,0.06651204979327999
mid,assists,0.13811081734749117,0.27764901308797835,0.09716623965193649,0.4624249376918789,0.10019451352186666,-0.07006644083504303,0.139987704327872,-0.1594443000719947,-0.22740789099186418,-0.03956265242608154,0.0849292455845777,0.05525838977571796,0.1289491056341826,0.11876458356665433,0.5522303398059392,0.018326516481876453,0.011346430670773051,-0.08274846671764209,-0.19819948119484046,0.23222751267743708,-0.15038179115996547,-0.22857075076971745,0.2144060118604322
mid,deaths_per_min,-0.2566942061015972,0.08172390234272328,0.028152370772927628,-0.04604124914387312,0.035262330958239524,0.37767731237944113,-0.07803120208016118,0.026266507218512154,0.297758050877637,-0.2781483737232188,-0.0415351531199031,0.5213853884259636,-0.30570611962072836,-0.04844286752965616,0.2962353772589731,-0.0214482006565913,-0.15692853773114754,-0.25585127088440457,-0.10511077452058705,-0.20314967865484487,-0.06168674763062556,0.037578022126601246,-0.05118643810196468
mid,kill_participation,0.07859365356934632,-0.24109784723550107,-0.03115499762481304,0.3820550689032338,0.31869693689802037,0.1134376209871783,0.019579577805026678,0.03707685077094054,-0.15943469286745074,-0.22743280539952868,-0.4411369033012775,0.30001100075106596,0.21936660341136105,0.3337533474638207,-0.261146142741418,0.16082517701855373,0.056933244734966804,0.1494483934504538,0.04029146470821452,-0.12483387091248989,0.03780589102323606,0.09737194369575171,-0.05951518852818751
mid,dpm,0.2504368236013403,0.13853054874202492,-0.11107536761731292,0.20105929332278658,0.3204343540948454,0.16174512489855375,-0.20740388827236828,-0.03280248387186152,0.1095191432178232,0.0127222812717491,0.46061599684429566,-0.05376801737916623,-0.06409543076494743,0.06392013737924793,-0.012846957684726719,-0.09880536849635038,0.05068905136692539,0.06034505686719544,-0.006502174731491086,-0.20024558480595744,0.6321283461515368,0.00725123138097067,-0.032708068069854684
mid,damageshare,0.13326737152387383,-0.36421967642593844,-0.14173423675590938,0.0002535657634574596,0.30362753557348865,0.25095440218594117,-0.23996884968263962,0.06307114249520746,-0.0011786039091111688,0.0025360770492590837,0.4059433640861269,-0.15381054303836506,-0.09808167786661455,0.1825549098014802,-0.04566526227937852,-0.021833471656735076,-0.16630318258138363,-0.0001488857962567956,-0.004469209939065775,0.14499222084695743,-0.5725190243034577,0.0355644438338589,0.03252951087502596
