playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Bdd,KT Rolster,mid,14.06,14,6,5,0,mid,-2.677153616897784,0.9372334725917756,0.37378223713928344,0.323156953840654,-0.15218461647971498,-0.04967957904882068
BuLLDoG,DN SOOPers,mid,14.06,14,6,3,0,mid,-0.3483262571005502,1.616967666164514,0.13140980358212845,-0.5594147230640459,0.5174257096442807,0.2791692476819247
Chovy,Gen.G,mid,14.06,14,6,14,0,mid,2.9086287189248905,0.27701969113918384,-0.44221854416879086,0.6132311474619215,0.13423519545147333,0.04963429896217899
Faker,T1,mid,14.06,14,6,15,0,mid,-1.357675006606339,0.42727022732029846,-0.1329331741755189,0.2643968297537368,0.1020852713328402,-0.06899505908318922
ShowMaker,Dplus Kia,mid,14.06,14,6,13,0,mid,0.47763668362658696,0.30034491693278953,0.12329946024539536,-0.5590457696841186,-0.0400507412304222,-0.3339143642914219
Zeka,Hanwha Life Esports,mid,14.06,14,6,14,0,mid,0.6216271605200769,0.258680557760488,-0.13268309591342523,-0.026160566400793228,0.3704725586124855,-0.051665725948937744
Bdd,KT Rolster,mid,14.11,14,11,5,0,mid,-0.6050130279241235,0.2048553233370491,0.6908671351799134,-0.4641538442728539,-0.7693859344689201,-0.07216580649694151
BuLLDoG,DN SOOPers,mid,14.11,14,11,5,0,mid,3.406349317455679,-1.0753784680567797,-0.23332642615993723,0.7805887130907487,-1.0604128591964332,0.10365635163333387
Chovy,Gen.G,mid,14.11,14,11,4,0,mid,4.3222838813836715,0.3323935541481297,-0.26030028914955705,0.6466510993538195,-0.1294963279697367,0.3231148362513871
Clozer,BNK FEARX,mid,14.11,14,11,5,0,mid,-0.8562087030142861,0.5890019031351585,-0.09872410916572381,-0.21803582280419181,-0.6303992272748513,-0.07851121652554334
Faker,T1,mid,14.11,14,11,4,0,mid,-0.5278358090222394,1.0012443647374303,-0.33745495831151673,-1.0652332296566536,0.05497230508613217,0.2643361713675226
Fisher,Nongshim RedForce,mid,14.11,14,11,4,0,mid,0.1611519734764272,-0.5449093813565719,1.2099285996475542,0.14062862871921405,0.31027374098626,0.12480088350856658
Karis,HANJIN BRION,mid,14.11,14,11,6,0,mid,-0.030118727768455263,0.3117010907687903,0.5279496285706704,0.3009822625879085,-0.08978074062413778,-0.0711481341182331
ShowMaker,Dplus Kia,mid,14.11,14,11,6,0,mid,0.7615632362502643,0.28998328466936124,1.008891210411766,-0.6439756016737804,0.48248090014134976,-0.17060412866870406
Zeka,Hanwha Life Esports,mid,14.11,14,11,6,0,mid,-0.3393595227980305,1.1064045035790167,-0.8175652309670375,0.8615757509668402,0.2216956064658783,-0.04009970376245967
kyeahoo,DRX,mid,14.11,14,11,6,0,mid,-0.27360572662380134,0.9373502312531076,0.13808897438880577,-0.05825010946555222,0.2791359123247804,-0.35925826941310224
Bdd,KT Rolster,mid,14.12,14,12,10,0,mid,-0.3921785403104049,0.815157875773265,0.37190493157945265,-0.27374251765371965,-0.21792065778056335,0.21424076175085
BuLLDoG,DN SOOPers,mid,14.12,14,12,10,0,mid,0.9797759447414849,1.1977803783789651,-0.8711278018476809,-0.6032501315082665,-0.1625801864801637,-0.14350298458167368
Chovy,Gen.G,mid,14.12,14,12,8,0,mid,4.853353625973933,0.21752423068471788,0.2352382880362438,0.5139764346685793,0.18818534374605236,-0.1919212596840118
Clozer,BNK FEARX,mid,14.12,14,12,8,0,mid,0.4472498072221027,0.606628603397125,-0.2889195728607362,0.2801888506173706,0.1397512308164235,0.11818397343620461
Faker,T1,mid,14.12,14,12,10,0,mid,-0.2166302123905465,-0.11879457365835569,0.5997556649003191,0.3008359994252967,0.09194798132964359,0.10620950507709075
Fisher,Nongshim RedForce,mid,14.12,14,12,9,0,mid,0.09268440986026744,0.17120172440570466,-0.0029514887975780426,0.029948282186496374,0.17955905138560352,0.3341544682800245
Karis,HANJIN BRION,mid,14.12,14,12,7,0,mid,-1.1557521113684215,1.5444640221737895,0.09027335118133965,-0.5004747636931725,-0.9754220633988802,0.11652353807980458
ShowMaker,Dplus Kia,mid,14.12,14,12,9,0,mid,0.5348728734463893,0.6306439100373603,0.373074856467007,0.23528362554508572,0.4417169001252028,-0.20519894320380805
Zeka,Hanwha Life Esports,mid,14.12,14,12,8,0,mid,4.769884674594038,-0.2817635388586119,1.1002565559885786,-0.6075255647698339,-0.09562074080294419,-0.10082323737775528
kyeahoo,DRX,mid,14.12,14,12,9,0,mid,-2.763754857060259,0.6156770627589558,0.13429338326785578,0.14883633496247423,-0.15984327382564845,0.09270027495318926
Bdd,KT Rolster,mid,14.13,14,13,9,0,mid,-0.28897463761484066,0.07715156029239412,-0.39584679197064343,0.5466742620839191,-0.21673948740326834,0.02749607926532417
BuLLDoG,DN SOOPers,mid,14.13,14,13,9,0,mid,-0.5008188845947185,1.2110619572357881,0.02309659238054163,-0.39681393280282135,-0.3655376871692151,-0.13058443417901397
Chovy,Gen.G,mid,14.13,14,13,9,0,mid,4.2949817277704305,-0.050000058805223,-0.8992763681627313,0.2833231595522042,-0.0977376784807352,0.16609838025886184
Clozer,BNK FEARX,mid,14.13,14,13,10,0,mid,0.50301105624259,0.7884414780952694,0.1115973481068555,0.1513710150965023,-0.4021792469415265,-0.08262804653505891
FATE,HANJIN BRION,mid,14.13,14,13,3,0,mid,-1.0384484685762312,-0.09822970985019629,2.3464556361976516,-0.19892116371271076,0.3482746203424841,-0.017611803544328217
