playername,position,puuid,match_id
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7392289112
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7297855031
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7297774265
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7297579658
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7297558055
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7297515558
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7293777290
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7239559828
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7238862229
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7237030708
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7236806489
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7235993077
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7229515304
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7225510134
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7223183802
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7223148092
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7221568114
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7221537717
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7221513613
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7217595464
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7211984477
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7210253924
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7210236939
Canyon,jng,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w,KR_7209777403
